Species	Mitochondrial genome accession	Gene count	ATP6	ATP8	COX1	COX2	COX3	CYTB	ND1	ND2	ND3	ND4	ND4L	ND5	ND6	rRNA-12S	rRNA-16S	tRNA-Ala	tRNA-Arg	tRNA-Asn	tRNA-Asp	tRNA-Cys	tRNA-Gln	tRNA-Glu	tRNA-Gly	tRNA-His	tRNA-Ile	tRNA-Leu	tRNA-Lys	tRNA-Met	tRNA-Phe	tRNA-Pro	tRNA-Ser	tRNA-Thr	tRNA-Trp	tRNA-Tyr	tRNA-Val
Psychropotes verrucicaudatus	OQ564504.1	35	XUS48751.1	XUS48750.1	XUS48747.1	XUS48749.1	XUS48752.1	XUS48757.1	XUS48758.1	XUS48759.1	XUS48753.1	XUS48754.1	XUS48748.1	XUS48755.1	XUS48756.1	11247..12093	3..1443	complement(13388..13444)	2996..3061	13930..13997	complement(14231..14297)	14080..14145	complement(13853..13923)	12091..12160	13643..13711	7545..7617	15450..15517	13999..14070;14390..14461	4048..4114	13566..13639	11179..11247	13788..13856	complement(5745..5811);7619..7686	16560..16628	13471..13538	14300..14368	complement(14148..14217)
Pyrosoma atlanticum	LC068804.1	35	BBF25283.1	BBF25272.1	BBF25271.1	BBF25273.1	BBF25276.1	BBF25274.1	BBF25277.1	BBF25278.1	BBF25280.1	BBF25281.1	BBF25279.1	BBF25282.1	BBF25275.1	7417..8091	10424..11484	13471..13532	4949..5014	3595..3660	10273..10340	11552..11606	6039..6105	8092..8151	11607..11670;11674..11739	8152..8214	7353..7416	5016..5082;14162..14222	7228..7295	1..63;7302..7372	10341..10404	6165..6233	1667..1719;11485..11550	1604..1666	10203..10267	6101..6163	8812..8879
Raja clavata	MF278973.1	35	AWO66577.1	AWO66576.1	AWO66574.1	AWO66575.1	AWO66578.1	AWO66584.1	AWO66572.1	AWO66573.1	AWO66579.1	AWO66581.1	AWO66580.1	AWO66582.1	AWO66583.1	70..1036	1109..2791	complement(5169..5237)	9999..10067	complement(5238..5310)	7110..7178	complement(5343..5409)	complement(3911..3982)	complement(14301..14369)	9580..9649	11739..11807	3842..3911	2792..2866;11877..11948	7875..7947	3984..4052	1..69	complement(15599..15667)	complement(7039..7109);11808..11875	15519..15590	5099..5167	complement(5410..5479)	1037..1108
Ramazzottius varieornatus	AP017609.1	35	BAV58164.1	BAV58163.1	BAV58161.1	BAV58162.1	BAV58165.1	BAV58171.1	BAV58172.1	BAV58173.1	BAV58166.1	BAV58168.1	BAV58169.1	BAV58167.1	BAV58170.1	complement(12407..13157)	complement(11224..12351)	4344..4405	4406..4458	4465..4525	2280..2344	complement(14305..14360)	complement(13158..13224)	4583..4644	3940..4000	complement(6349..6410)	complement(10716..10778)	complement(10651..10712);complement(10779..10834)	2217..2279	13221..13282	complement(4644..4706)	complement(8060..8122)	4526..4582;9677..9733	7998..8060	14244..14306	complement(14364..14426)	complement(12352..12406)
Relicanthus daphneae	MK947129.1	17	QIN90381.1	QIN90380.1	QIN90378.1	QIN90373.1	QIN90377.1	QIN90376.1	QIN90370.1	QIN90372.1	QIN90371.1	QIN90374.1	QIN90379.1	QIN90369.1	QIN90375.1	5327..6319	11166..12867	-	-	-	-	-	-	-	-	-	-	-	-	10623..10693	-	-	-	-	3573..3642	-	-
Rhabdopleura sp. f ZBRQ-2024a	PP334099.1	34	WVX52203.1	WVX52202.1	WVX52200.1	WVX52204.1	WVX52201.1	-	WVX52193.1	WVX52194.1	WVX52195.1	WVX52197.1	WVX52196.1	WVX52198.1	WVX52205.1	8645..9480	7338..8525	4969..5036	10846..10913	7016..7083	2438..2503	8570..8637	13549..13616	complement(7..71)	complement(138..201)	4812..4875	1218..1287	7090..7156;13620..13690	complement(13471..13548)	10628..10693	5121..5188	complement(3041..3109)	5041..5109;13702..13766	73..136	10694..10759	complement(2503..2567)	10766..10837
Rhabdopleura sp. NHMO H2137	ON600796.1	35	WDV10348.1	WDV10347.1	WDV10345.1	WDV10351.1	WDV10346.1	WDV10344.1	WDV10350.1	WDV10339.1	WDV10340.1	WDV10342.1	WDV10341.1	WDV10343.1	WDV10349.1	7283..8125	5847..7161	3573..3635	9644..9712	5596..5669	complement(1106..1176)	7199..7268	12280..12349	complement(14971..15036)	complement(15114..15176)	3489..3559	16207..16275	5760..5827;12475..12545	12366..12436	9429..9495	3724..3786	complement(1716..1784)	3643..3709;12549..12621	15040..15109	9496..9564	1176..1242	9572..9643
Rhinella martyi	OR778693.1	35	XCI16111.1	XCI16110.1	XCI16108.1	XCI16109.1	XCI16112.1	XCI16118.1	XCI16106.1	XCI16107.1	XCI16113.1	XCI16115.1	XCI16114.1	XCI16116.1	XCI16117.1	279..1207	1277..2848	complement(5227..5294)	10013..10081	complement(5296..5368)	7151..7220	complement(5395..5458)	complement(3985..4055)	complement(14192..14259)	9604..9673	11740..11807	3933..3985	1..72;2849..2921	7918..7981	4055..4123	211..278	complement(143..211)	complement(7075..7146);11808..11874	73..143	5159..5225	complement(5459..5528)	1208..1276
Rhipicephalus pumilio	OR597502.1	35	WOH23050.1	WOH23049.1	WOH23047.1	WOH23048.1	WOH23051.1	WOH23058.1	WOH23053.1	WOH23046.1	WOH23052.1	WOH23055.1	WOH23056.1	WOH23054.1	WOH23057.1	complement(13754..14441)	complement(12491..13690)	11193..11255	11259..11315	11318..11373	9099..9163	5609..5667	complement(66..130)	11430..11492	10785..10846	complement(1880..1942)	1..63	5243..5303;complement(12430..12490)	9033..9098	5672..5736	complement(157..214)	complement(3595..3658)	5177..5240;11375..11429	3534..3594	6698..6759	complement(6761..6824)	complement(13691..13753)
Riseriellus occultus	OR387314.1	35	WMQ77679.1	WMQ77678.1	WMQ77676.1	WMQ77677.1	WMQ77686.1	WMQ77682.1	WMQ77680.1	WMQ77688.1	WMQ77687.1	WMQ77684.1	WMQ77683.1	WMQ77685.1	WMQ77681.1	3398..4238	4304..5616	13112..13177	13323..13384	13385..13451	2297..2361	3270..3331	13255..13322	12111..12173	12180..12243	10315..10369	13475..13541	5617..5682;5695..5762	13039..13100	3333..3397	13188..13251	complement(6834..6898)	8509..8576;14338..14405	complement(8587..8654)	1535..1598	6768..6831	4239..4303
Rotaria rotatoria	GQ304898.1	33	ACT21456.1	-	ACT21454.1	ACT21462.1	ACT21463.1	ACT21458.1	ACT21457.1	ACT21465.1	ACT21464.1	ACT21460.1	ACT21459.1	ACT21461.1	ACT21455.1	9148..9668	1894..2422	2864..2921	12923..12969	14441..14493	2994..3044	-	2940..2994	3766..3824	1538..1594	7364..7417	1741..1805	1619..1675;2423..2478	10318..10369	9087..9147	8950..9006	12863..12915	13730..13786;14392..14440	12002..12056	1681..1734	1830..1893	14103..14155
Salmo pallaryi	ON557264.1	35	WHE16778.1	WHE16777.1	WHE16775.1	WHE16776.1	WHE16779.1	WHE16785.1	WHE16773.1	WHE16774.1	WHE16780.1	WHE16782.1	WHE16781.1	WHE16783.1	WHE16784.1	69..1015	1088..2768	complement(5159..5227)	10000..10069	complement(5229..5301)	7101..7174	complement(5336..5402)	3895..3965	complement(14311..14379)	9581..9650	11741..11810	3826..3897	2769..2843;11881..11953	7880..7953	complement(3965..4033)	1..68	complement(15595..15664)	complement(7026..7096);11811..11879	15524..15595	5085..5156	complement(5403..5473)	1016..1087
Salpa younti	LC590037.1	34	BCM73313.1	-	BCM73320.1	BCM73311.1	BCM73321.1	BCM73312.1	BCM73316.1	BCM73317.1	BCM73318.1	BCM73319.1	BCM73315.1	BCM73310.1	BCM73314.1	8007..8661	5836..6870	3515..3578	13568..13630	4822..4877	13652..13715	5146..5212	5685..5753	5071..5152	8670..8731;13733..13794	9636..9701	7939..8000	3448..3514;6975..7039	4948..5008	5008..5068;11238..11300	3381..3444	1561..1626	3311..3375;6890..6960	4079..4143	1472..1536	5609..5675	4882..4945
Scutigerella causeyae	DQ666065.1	35	ABF93305.1	ABF93304.1	ABF93301.1	ABF93302.1	ABF93303.1	ABF93306.1	ABF93312.1	ABF93313.1	ABF93307.1	ABF93309.1	ABF93310.1	ABF93308.2	ABF93311.1	complement(12024..12748)	complement(10858..12023)	4358..4418	4420..4477	4478..4533	2269..2331	complement(14524..14586)	complement(13379..13440)	4582..4641	3952..4005	complement(6354..6423)	13009..13074	complement(10733..10798);complement(10796..10857)	2211..2273	13324..13390	complement(4628..4697)	complement(8023..8089)	4531..4581;9745..9808	8098..8150	14470..14540	complement(join(14585..14637,1..9))	complement(13075..13138)
Scutopus robustus	MF579533.1	35	AWL21418.1	AWL21419.1	AWL21421.1	AWL21422.1	AWL21423.1	AWL21420.1	AWL21424.1	AWL21425.1	AWL21426.1	AWL21427.1	AWL21428.1	AWL21429.1	AWL21430.1	complement(9593..10320)	complement(10577..11779)	12881..12946	12947..13010	13132..13193	2226..2288	complement(10383..10443)	complement(10447..10514)	11982..12044	complement(11836..11897)	complement(4915..4976)	13011..13073	complement(9351..9418);complement(9528..9592)	12820..12880	complement(10321..10382)	complement(3138..3199)	8370..8431	complement(7825..7885);13074..13132	6602..6662	complement(11914..11975)	complement(10515..10576)	complement(11780..11844)
Scutopus ventrolineatus	KC757645.1	35	AHI45696.1	AHI45695.1	AHI45693.1	AHI45694.1	AHI45703.1	AHI45700.1	AHI45702.1	AHI45705.1	AHI45704.1	AHI45698.1	AHI45699.1	AHI45697.1	AHI45701.1	complement(9506..10328)	complement(10596..11815)	12982..13047	13068..13125	13282..13345	2237..2302	complement(10395..10455)	complement(10457..10524)	12067..12136	complement(11880..11941)	complement(4933..4995)	13126..13193	complement(9374..9436);complement(9442..9505)	12913..12981	complement(10329..10394)	complement(3161..3225)	8380..8443	complement(6698..6756);13217..13277	6631..6697	complement(11959..12020)	complement(10530..10595)	complement(11816..11874)
Seison sp. MS-2015	KP742964.1	34	AKN10627.1	-	AKN10625.1	AKN10633.1	AKN10634.1	AKN10629.1	AKN10628.1	AKN10636.1	AKN10635.1	AKN10631.1	AKN10630.1	AKN10632.1	AKN10626.1	4461..5175	1855..2981	13934..13996	13996..14056	14055..14118	3473..3533	1793..1854	1672..1731	4268..4328	1549..1608	9112..9170	1607..1670	2982..3042;5240..5303	11596..11657	4398..4460	10848..10910	6257..6318	7458..7525;14119..14185	6198..6258	4335..4398	1730..1793	5176..5237
Semnoderes armiger	MF953591.1	34	AYF57120.1	-	AYF57114.1	AYF57119.1	AYF57121.1	AYF57123.1	AYF57116.1	AYF57117.1	AYF57122.1	AYF57124.1	AYF57118.1	AYF57125.1	AYF57115.1	2067..2832	3248..4359	7080..7141	12935..12985	7920..7993	7006..7070	6516..6577	6343..6403	1759..1833	2833..2899	13068..13147	6422..6490	1679..1748;1835..1917	3083..3153	9521..9590	12992..13061	6618..6675	1567..1632;2003..2063	7152..7207	13152..13225	12852..12919	2908..2970
Sinentomon erythranum	HQ199311.1	35	ADN32959.1	ADN32958.1	ADN32956.1	ADN32957.1	ADN32960.1	ADN32966.1	ADN32967.1	ADN32968.1	ADN32961.1	ADN32963.1	ADN32964.1	ADN32962.1	ADN32965.1	10445..11134	11188..12183	4279..4331	4328..4381	4375..4433	2245..2299	complement(14437..14491)	complement(14265..14330)	4546..4600	3877..3931	complement(6195..6247)	13262..13318	12196..12250;12255..12309	2185..2246	14329..14384	complement(4434..4489)	13202..13256	4491..4545;10383..10444	7809..7862	14387..14454	complement(14210..14266)	11135..11187
Sinosolenaia oleivora	KY007143.1	35	APA19213.1	APA19212.1	APA19202.1	APA19203.1	APA19214.1	APA19206.1	APA19208.1	APA19205.1	APA19204.1	APA19210.1	APA19211.1	APA19207.1	APA19209.1	4735..5587	5783..7069	3259..3322	4670..4734	7153..7219	complement(14872..14937)	11016..11085	10948..11015	3480..3545	12197..12261	complement(10274..10347)	11088..11156	7070..7135;11220..11283	5588..5652	4538..4601	8448..8518	7219..7281	3325..3391;3392..3460	5653..5716	4604..4669	5719..5782	11155..11219
Solemya velesiana	KY244081.1	35	ARH10777.1	ARH10778.1	ARH10772.1	ARH10773.1	ARH10782.1	ARH10779.1	ARH10781.1	ARH10784.1	ARH10783.1	ARH10775.1	ARH10774.1	ARH10776.1	ARH10780.1	complement(11173..12059)	complement(9712..11100)	14228..14295	14297..14364	14368..14436	complement(6674..6740)	complement(12129..12196)	complement(12335..12403)	complement(12409..12474)	12753..12818	4079..4143	14442..14510	complement(9570..9637);complement(9643..9711)	13609..13678	complement(12060..12126)	5873..5940	complement(8560..8625)	2276..2342;14863..14930	complement(2344..2411)	complement(12265..12332)	complement(12197..12264)	complement(11102..11172)
Somniosus microcephalus	KY513709.1	35	AQT26235.1	AQT26234.1	AQT26232.1	AQT26233.1	AQT26236.1	AQT26242.1	AQT26230.1	AQT26231.1	AQT26237.1	AQT26239.1	AQT26238.1	AQT26240.1	AQT26241.1	70..1020	1093..2767	complement(5148..5216)	9991..10060	complement(5217..5290)	7098..7167	complement(5328..5394)	complement(3891..3962)	complement(14291..14360)	9567..9636	11732..11800	3820..3889	2768..2842;11868..11939	7863..7936	3963..4031	1..69	complement(15587..15655)	complement(7024..7094);11801..11867	15512..15584	5078..5146	complement(5396..5465)	1021..1092
Spadella cephaloptera	KP899750.1	11	-	-	AKS03983.1	AKS03988.1	AKS03984.1	AKS03990.1	AKS03987.1	AKS03985.1	AKS03986.1	AKS03992.1	-	AKS03991.1	-	1527..2165	5905..7186	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Sphaerius sp. BT0074	EU877950.1	34	ACF35086.1	ACF35085.1	-	ACF35084.1	ACF35087.1	ACF35093.1	ACF35094.1	ACF35082.1	ACF35088.1	ACF35090.1	ACF35091.1	ACF35089.1	ACF35092.1	complement(13981..14764)	complement(12595..13909)	5899..5964	5973..6037	6040..6105	3799..3865	complement(1298..1360)	complement(62..130)	6174..6240	5483..5546	complement(8025..8089)	1..64	2965..3029;complement(12532..12594)	3712..3782	132..202	complement(6239..6306)	complement(9780..9845)	6106..6172;11491..11557	9715..9779	1229..1296	complement(1365..1432)	complement(13910..13980)
Stomolophus sp. CG-2019	MK157198.1	17	QCU46369.1	QCU46368.1	QCU46366.1	QCU46367.1	QCU46370.1	QCU46378.1	QCU46376.1	QCU46371.1	QCU46374.1	QCU46377.1	QCU46375.1	QCU46372.1	QCU46373.1	7393..7728;7769..8324	15181..16995	-	-	-	-	-	-	-	-	-	-	-	-	4181..4251	-	-	-	-	2405..2474	-	-
Strongylus equinus	KM605251.1	34	AJG02950.1	-	AJG02954.1	AJG02955.1	AJG02952.1	AJG02951.1	AJG02961.1	AJG02960.1	AJG02956.1	AJG02953.1	AJG02959.1	AJG02957.1	AJG02958.1	7193..7900	2783..3741	5693..5748	11036..11090	8029..8084	1789..1847	1581..1640	11091..11145	7135..7195	1922..1976	2710..2764	10923..10982	9899..9953;12342..12396	9817..9878	1717..1773	11173..11228	6020..6077	7918..7974;9954..10005	13163..13219	7036..7089	8146..8201	6270..6325
Sympagella nux	EF537577.1	28	ABQ11847.1	-	ABQ11842.1	ABQ11844.1	ABQ11848.1	ABQ11852.1	ABQ11851.1	-	ABQ11845.1	-	ABQ11846.1	-	-	3015..3928	3930..5578	6501..6570	6647..6714	13569..13638	2170..2237	12404..12472	2944..3014	-	250..318	324..392	13502..13567	7237..7304;13436..13502	6721..6790	2879..2946	12333..12403	6582..6648	5579..5649;5671..5743	1954..2020	7164..7231	13639..13709	-
Symphylella sp. YG-2006	EF576853.1	35	ABQ01735.1	ABQ01734.1	ABQ01732.1	ABQ01733.1	ABQ01736.1	ABQ01742.1	ABQ01741.1	ABQ01744.1	ABQ01737.1	ABQ01739.1	ABQ01740.1	ABQ01738.1	ABQ01743.1	complement(9897..10656)	complement(8827..9832)	4362..4425	14552..14615	8355..8416	2277..2341	complement(10657..10717)	complement(10715..10776)	8187..8253	3954..4017	complement(6264..6325)	13476..13538	complement(7927..7990);complement(8758..8826)	2211..2276	13541..13602	complement(4524..4587)	complement(8549..8617)	4434..4501;12965..13029	11798..11859	14606..14667	complement(9833..9896)	complement(11693..11758)
Tachypleus tridentatus	FJ860267.1	35	ACO52903.1	ACO52902.1	ACO52901.1	ACO52900.1	ACO52904.1	ACO52909.1	ACO52910.1	ACO52912.1	ACO52905.1	ACO52907.1	ACO52911.1	ACO52906.1	ACO52908.1	complement(13839..14640)	complement(12475..13768)	5790..5857	5858..5919	5919..5988	3705..3767	complement(1288..1351)	complement(66..132)	6054..6117	5375..5438	complement(7908..7971)	1..67	complement(12341..12406);complement(12408..12474)	3635..3705	131..199	complement(6129..6193)	complement(9672..9736)	5988..6054;11330..11398	9606..9670	1218..1286	complement(1352..1415)	complement(13769..13838)
Taenia ovis	AB731675.1	34	BAN15610.1	-	BAN15614.1	BAN15615.1	BAN15606.1	BAN15607.1	BAN15612.1	BAN15611.1	BAN15613.1	BAN15609.1	BAN15608.1	BAN15605.1	BAN15616.1	11844..12574	10800..11782	7279..7344	401..458	8327..8394	7364..7430	11783..11843	5586..5649	13167..13234	2206..2269	2930..3002	8484..8546	132..197;313..377	8566..8632	5709..5775	5649..5712	8417..8481	235..292;8984..9042	10736..10799	9060..9127	1..63	7196..7259
Terebratalia transversa	AF331161.1	35	AAK95501.1	AAK95499.1	AAK95497.1	AAK95507.1	AAK95500.1	AAK95498.1	AAK95504.1	AAK95509.1	AAK95508.1	AAK95505.1	AAK95506.1	AAK95502.1	AAK95503.1	6582..7343	8021..9125	7412..7473	13152..13206	9185..9245	6521..6581	1606..1668	4576..4639	9126..9185	2786..2847	3820..3877	12694..12744	6389..6447;7961..8020	13207..13266	7344..7404	11627..11688	6452..6511	13267..13322	13093..13151	4637..4698	10207..10269	10146..10206
Terebratulina retusa	AJ245743.1	32	-	CAB59844.1	CAB59842.1	CAB59843.1	CAB59852.1	CAB59848.1	CAB59846.1	CAB59854.1	CAB59853.1	-	CAB59849.1	CAB59851.1	-	3377..4193	4257..5496	5562..5624	13912..13972	9185..9248	2243..2305	3243..3303	10946..11014	12928..12991	12991..13053	11079..11139	13975..14044	5497..5557;5624..5684	9122..9184	3313..3376	12865..12928	7915..7977	9249..9313;14397..14462	13848..13914	11018..11079	3180..3240	4194..4256
Thelohanellus kitauei	OY743233.1	7	-	-	CAJ2387956.1	CAJ2387952.1	-	CAJ2387966.1	CAJ2387948.1	-	-	-	-	CAJ2387970.1	-	5..1236	21024..24590	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Thereuopoda clunifera	OL436141.1	34	WAP91272.1	WAP91271.1	WAP91269.1	WAP91270.1	WAP91273.1	WAP91280.1	WAP91277.1	WAP91268.1	WAP91278.1	WAP91275.1;WAP91279.1	-	WAP91274.1	WAP91276.1	complement(13610..14372)	complement(12351..13537)	5147..5211	5212..5272	9536..9599	3414..3476	9062..9121	complement(1..68)	5329..5389	5087..5147	complement(9598..9659)	complement(14373..14436)	complement(12234..12295);complement(12294..12350)	3345..3414	9000..9062	complement(5388..5447)	complement(11050..11117)	5273..5330;7995..8063	10998..11058	1064..1126	9122..9182	complement(13539..13609)
Tjalfiella sp.	PP327218.1	13	-	-	WVV38361.1	WVV38362.1	WVV38363.1	WVV38364.1	WVV38365.1	WVV38366.1	WVV38367.1	WVV38368.1	WVV38369.1	WVV38370.1	WVV38371.1	5077..5401	4135..5075	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trichinella spiralis	LC721854.1	35	BDQ01069.1	BDQ01071.1	BDQ01073.1	BDQ01074.1	BDQ01070.1	BDQ01068.1	BDQ01075.1	BDQ01063.1	BDQ01072.1	BDQ01065.1	BDQ01066.1	BDQ01064.1	BDQ01067.1	6090..6777	6832..7778	10450..10503	complement(2624..2683)	10330..10388	9687..9749	complement(10508..10562)	9435..9489	12926..12987	complement(9558..9612)	complement(2565..2617)	complement(9495..9556)	10389..10448;12861..12922	15317..15379	complement(889..951)	complement(952..1007)	complement(4391..4444)	6034..6089;10278..10330	4166..4223	complement(9371..9435)	complement(10569..10627)	6778..6831
Trichoplax adhaerens	DQ112541.1	31	ABF48516.1	-	-	ABF48524.1	ABF48520.1	ABF48511.1	ABF48514.1	ABF48523.1	ABF48515.1	ABF48526.1	ABF48512.1	ABF48521.1	ABF48517.1	30496..31671	8895..9790;26444..28253	7560..7631	9804..9874	complement(14056..14128)	11417..11489	-	complement(3108..3179)	33838..33908	complement(16249..16319)	complement(20611..20681)	-	complement(3686..3758);7874..7947;11221..11303	complement(14587..14659)	complement(3319..3389);complement(16177..16249)	complement(20712..20783)	32700..32770	12052..12123;15459..15544	15329..15402	11044..11114	complement(2966..3044)	6163..6233
Trichuris sp. GHL-2013	KC461179.1	35	AGH27507.1	AGH27509.1	AGH27498.1	AGH27499.1	AGH27508.1	AGH27506.1	AGH27500.1	AGH27501.1	AGH27510.1	AGH27503.1	AGH27504.1	AGH27502.1	AGH27505.1	9422..10126	10192..11198	13924..13983	complement(6124..6188)	13782..13836	13063..13121	complement(14003..14065)	12852..12908	2339..2396	complement(12996..13057)	complement(6061..6122)	complement(12927..12992)	2264..2328;13841..13907	3437..3501	complement(4408..4468)	complement(4463..4521)	complement(7743..7796)	9378..9429;13730..13782	7685..7744	complement(12779..12844)	complement(14068..14127)	10129..10185
Tridacna maxima	MK105973.1	34	QCX31180.1	QCX31188.1	QCX31177.1	-	QCX31185.1	QCX31186.1	QCX31181.1	QCX31178.1	QCX31187.1	QCX31179.1	QCX31184.1	QCX31183.1	QCX31182.1	11355..12250	15951..17158	18293..18365	8172..8239	18228..18296	2915..2982	18155..18218	6594..6664	14375..14441	18091..18156	15720..15781	15787..15853	11027..11091;11095..11160	5433..5498	1689..1759;14305..14368	6674..6742	3701..3765	14443..14511;18025..18094	13340..13406	5502..5569	2981..3052	5570..5636
Tropostreptus severus	MT394517.1	35	UOF70378.1	UOF70377.1	UOF70375.1	UOF70376.1	UOF70379.1	UOF70382.1	UOF70386.1	UOF70374.1	UOF70380.1	UOF70384.1	UOF70385.1	UOF70383.1	UOF70381.1	complement(14124..14925)	complement(12818..14060)	5631..5695	5695..5755	5755..5821	3548..3609	complement(1196..1258)	complement(8141..8206)	5883..5944	5221..5284	complement(10047..10109)	1..64	complement(12694..12754);complement(12756..12817)	3481..3547	65..135	complement(8273..8335)	complement(11712..11774)	5822..5881;7522..7587	7592..7654	1142..1203	complement(8207..8272)	complement(14061..14123)
Tullbergia mixta	MW238520.1	35	QQK54722.1	QQK54721.1	QQK54719.1	QQK54720.1	QQK54723.1	QQK54729.1	QQK54730.1	QQK54718.1	QQK54724.1	QQK54726.1	QQK54727.1	QQK54725.1	QQK54728.1	complement(13898..14623)	complement(12645..13832)	5873..5932	5937..5992	5993..6053	3751..3812	complement(1272..1328)	complement(66..132)	6115..6177	5463..5522	complement(7949..8008)	1..63	2933..2995;complement(12584..12644)	3682..3750	132..194	complement(6178..6240)	complement(9722..9782)	6054..6113;11403..11472	9660..9724	1201..1268	complement(1329..1389)	complement(13833..13899)
Undinula vulgaris	MN603005.1	35	QGX04665.1	QGX04664.1	QGX04662.1	QGX04671.1	QGX04666.1	QGX04668.1	QGX04660.1	QGX04667.1	QGX04670.1	QGX04669.1	QGX04663.1	QGX04672.1	QGX04661.1	8786..9319	11800..12864	complement(5810..5870)	complement(4255..4316)	5171..5233	4402..4464	complement(4317..4376)	5607..5674	5685..5748	8618..8681	complement(5870..5934)	complement(3840..3902)	complement(1347..1410);5540..5601	5357..5417	5419..5480	7646..7706	5484..5540	5233..5292;11681..11737	11738..11799	5294..5356	complement(5749..5808)	12874..12934
Urechis caupo	AY619711.1	35	AAT12191.1	AAT12182.1	AAT12180.1	AAT12181.1	AAT12188.1	AAT12190.1	AAT12186.1	AAT12185.1	AAT12187.1	AAT12184.1	AAT12183.1	AAT12192.1	AAT12189.1	7196..8098	8099..9364	5570..5633	13075..13137	4304..4366	2297..2359	14975..15039	10601..10668	15042..15107	4368..4430	13138..13201	6707..6773	5500..5565;5705..5768	6774..6838	4232..4297	14907..14973	2231..2296	5634..5700;9428..9494	2532..2595	12267..12329	5435..5498	9365..9427
Uroteuthis chinensis	KT362380.1	35	ALI30933.1	ALI30932.1	ALI30927.1	ALI30928.1	ALI30921.1	ALI30923.1	ALI30925.1	ALI30926.1	ALI30922.1	ALI30930.1	ALI30931.1	ALI30929.1	ALI30924.1	6157..7159	4699..6088	16037..16104	11749..11814	10844..10909	16112..16178	10487..10551	4057..4124	10620..10692	15460..15525	17074..17139	4634..4698	15387..15458;17137..17201	7738..7808	11645..11712	11818..11884	2971..3035	1255..1320;7815..7883	15306..15370	7160..7226	10550..10615	6089..6156
Vargula hilgendorfii	AP007269.1	35	BCO38813.1	BCO38812.1	BCO38810.1	BCO38811.1	BCO38814.1	BCO38819.1	BCO38822.1	BCO38820.1	BCO38821.1	BCO38816.1	BCO38817.1	BCO38815.1	BCO38818.1	complement(12397..13111)	complement(11181..12396)	complement(4797..4859)	complement(4735..4800)	9962..10027	2262..2323	15869..15932	complement(13176..13245)	10095..10161	complement(14731..14795)	complement(6621..6683)	13112..13178	complement(11115..11180);14794..14858	complement(9893..9961)	13245..13312	complement(4924..4987)	10192..10258	complement(4669..4734);10028..10094	8258..8322	14259..14323	complement(14322..14386)	complement(4860..4923)
Vema ewingi	KY244019.1	35	APQ42943.1	APQ42944.1	APQ42946.1	APQ42945.1	APQ42949.1	APQ42952.1	APQ42950.1	APQ42947.1	APQ42948.1	APQ42954.1	APQ42953.1	APQ42955.1	APQ42951.1	8761..9623	9653..11025	complement(6799..6863)	complement(6865..6930)	8631..8693	8236..8297	8303..8359	15552..15619	8055..8120	complement(7840..7903)	15632..15694	complement(6935..7002)	10976..11040;11048..11112	8491..8554	8695..8761	17429..17491	12080..12143	complement(6272..6334);13788..13852	complement(1870..1932)	8131..8196	8428..8490	9621..9682
Watasenia scintillans	AB240152.1	35	BAE80015.1;BAE80027.1	BAE80014.1;BAE80026.1	BAE80012.1;BAE80024.1	BAE80013.1;BAE80025.1	BAE80010.1;BAE80022.1	BAE80019.1	BAE80021.1	BAE80011.1	BAE80023.1	BAE80017.1	BAE80018.1	BAE80016.1	BAE80020.1	complement(18417..19324)	complement(11528..12882)	14505..14569	852..919	14573..14640	4237..4302;17319..17384	complement(19395..19457)	complement(19465..19532)	complement(13080..13152)	complement(13011..13076)	complement(6877..6939)	14642..14706	complement(11383..11453);complement(11459..11527)	783..853	complement(19325..19394)	complement(18261..18324)	complement(10380..10446)	936..1003;complement(8669..8730)	8602..8667	complement(12946..13011)	complement(12883..12942)	complement(18350..18416)
Wirenia argentea	PP333957.1	35	XGY06842.1	XGY06841.1	XGY06839.1	XGY06840.1	XGY06836.1	XGY06846.1	XGY06848.1	XGY06838.1	XGY06837.1	XGY06844.1	XGY06845.1	XGY06843.1	XGY06847.1	complement(14601..15419)	complement(13300..14532)	complement(16248..16316)	complement(16115..16177)	complement(16183..16243)	4850..4914	complement(15486..15553)	complement(15674..15749)	complement(15819..15883)	complement(15739..15803)	complement(8927..8989)	complement(15988..16053)	complement(13235..13299);complement(15900..15955)	complement(16053..16117)	complement(15420..15483)	complement(7149..7212)	5726..5789	complement(10622..10677);complement(16347..16414)	5657..5719	complement(15612..15675)	complement(15553..15614)	complement(14533..14597)
Xibalbanus tulumensis	AY456190.1	35	AAS00885.1	AAS00884.1	AAS00882.1	AAS00883.1	AAS00886.1	AAS00892.1	AAS00893.1	AAS00881.1	AAS00887.1	AAS00889.1	AAS00890.1	AAS00888.1	AAS00891.1	complement(15831..16654)	complement(12315..13648)	5788..5855	6038..6127	5913..5978	3607..3685	17764..17834	complement(16727..16809)	5977..6038	5359..5424	complement(11508..11599);complement(13919..14010)	4503..4570	2778..2846;complement(12246..12314)	3528..3607	1..74	complement(6126..6192)	complement(9687..9756)	5855..5913;11398..11458	9628..9689	1063..1136	1160..1234	complement(15759..15830)
